ID,Class,Question
105,Electronics,I have a Speck case on my Macbook Air - would it fit?
106,Pet Supplies,"Hi, Just wanted to know if it came with a rain cover?"
107,Patio Lawn and Garden,uses baterries????
108,Automotive,Is $39.95 the price for one battery or for the pair?
109,Electronics,what cables are neededr
110,Pet Supplies,"This is 2 packs of 20 each, correct?"
111,Tools and Home Improvement,Will these cut through cement block do you think?
112,Pet Supplies,What are the bar spacing measurements? I want to get this for my syrian/teddy bear hamster but I'm afraid he might squeeze through the bars.
113,Automotive,Will this fog light fit my 2010 Nissan Xterra
114,Toys and Games,Would this furniture work with Barbies or is it too small?
115,Home and Kitchen,Is this towel soft?
116,Tools and Home Improvement,How difficult is this to install? Do i need a plumber?
117,Electronics,"Nikon Coolpix vs. Canon Powershot Help! I am not the best photographer, and I am just looking for a good, reliable, basic camera that is easy to use. I don't need all the bells and whistles that some come with. Since I am not the best at taking pics, I would like to keep the price down. Can anyone offer up any suggestions? I was looking at the Nikon Coolpix and Canon Powershot models."
118,Home and Kitchen,do these towels mildew or smell bad?
119,Electronics,"Are instructions, on how to replace the fan, included? My TV is Sony KDS-60aA2000?"
120,Electronics,How well will this run League of Legends on low/high settings and minecraft on high settings?
121,Electronics,"I just bought this and the sound is so low I can barely hear it even turned up as loud as it will go, on tv or dvd even hooked to earphones and external speakers. Does anyone else have this problem or could it just be a defective player/tv? Thanks."
122,Electronics,"If I am using a desktop that is connected to a power strip, can I plug the ethernet adaptor into the strip vs. a wall outlet?"
123,Home and Kitchen,What is the temperature range? I want to buy it for senior people.
124,Office Products,"Can you screen calls? That is, does the answering machine play incoming message through base speaker? (Update:) Thanks for the info, Amazon community! I don't have caller ID. I'm replacing a machine where I can hear the message that's being left so I can screen by listening. Can I do that with this system?"
125,Clothing Shoes and Jewelry,Do the boxes 'fit' together so they won't slide or do they simply rest on top of each other?
126,Tools and Home Improvement,Does this unit turn off and on as needed using the thermostat settings? I have a heater now that has five settings but it is either on or off.
127,Home and Kitchen,What are the dimensions of this case?
128,Electronics,I would like to know if this would work in a Dell Dimension 4700 computer?
129,Toys and Games,Are any of the cookie pieces a choking hazard? I can't what suze they are from the pictures? Thanks!
130,Pet Supplies,What size is the top diameter of the drain? How high is the Dooley drain from the house drain pipe it is attached to?
131,Tools and Home Improvement,"does this stapler only works with an air pressure, or I can use as an regular stapler? If so, what kind of parts do I need to buy?Thanks"
132,Electronics,What keyboard would you suggest buying with this Orgami Workstation with IPad 2. Also can you use a mouse and is there a certain one you can suggest?
133,Sports and Outdoors,"I've researched several hydration belts, and water bottle leakage seems to be a common complaint. Does anybody have any comments on leakage?"
134,Tools and Home Improvement,How are they packaged? One box of 4 bulbs OR 4 seperate boxes w/ 1 bulb each?
135,Home and Kitchen,are the dimensions 20x21x4 lengthxwidthxheight or is it other way around?
136,Automotive,Does the box interfere with the up and down seat adjustment?
137,Cell Phones and Accessories,Does the product completely seal the phone?
138,Tools and Home Improvement,"i will be replacing 3 fluorescent under cabinet lights. So, I assume that I can just wire these into the existing wire. Is that right?"
139,Electronics,S95 vs SX230? debating whether to get S95 or SX230.Any recommendations or the big difference between the two models?
140,Home and Kitchen,Do you think bottled beer would still fit fine rather than canned bear on this apron? I mean it wouldn't fall out easily too?
141,Home and Kitchen,how many shelves are in the cabinet
142,Cell Phones and Accessories,do i need screen protector or the case cover the front of the phone as well?
143,Tools and Home Improvement,Can I put this 65 equivalent watts LED bulbs in my lighting fixture which allows 60 watts maximum?
144,Home and Kitchen,Is this mop head for the regular or the professional sized shark?
145,Office Products,"My Panasonic system is KX-TG1061 *without the M*. Will the ""M"" phones work on my system?"
146,Tools and Home Improvement,Does this light activate 90 deg from head on? Or approaching sharply from left or right side?
147,Automotive,want to put these on my 2013 sg can I do it myself or have a dealer do it ?
148,Cell Phones and Accessories,Is it unlocked?
149,Sports and Outdoors,"Since this unit is a wired unit, does that mean you can't remove the computer when you leave your bike outside a store or resturant?"
150,Electronics,"Prior to first use, fully charge and drain the battery three times to extend the battery's life. Easiest way to drain battery?"
151,Patio Lawn and Garden,is this model rechargeable or do I have to buy batteries?
152,Patio Lawn and Garden,"The detailed description says this cable has ""nem L14-20"" ends but the picture and abbreviated description has 14-30 ends, so which is it??"
153,Home and Kitchen,Does it come with the stand? Is it lucite? No battery needed? ARe they new?
154,Tools and Home Improvement,"Would this work well for storing my kids' art supplies such as crayons, markers, scissors, glue, etc.?"
155,Tools and Home Improvement,Is this easy to uninstall? We rent but I want this so bad.
156,Home and Kitchen,"This may seem like a stupid question, but should I twist forward/backward with a firm grip, or should I continually turn forward?"
157,Patio Lawn and Garden,Are the legs of the canopy one piece?
158,Electronics,"If I use these splitters, will my computer detect my fans as 2 separate fans or one fan?"
159,Electronics,Looking for something for small beach ceremony- anyone used this on beach? How well does sound carry? Can hook up speakers? This or UE boombox? Thx!
160,Sports and Outdoors,How is this as a fishing knife
161,Home and Kitchen,Can you deep fry a whole chicken in this unit?
162,Pet Supplies,is this a very heavy plastic or is it flimsy
163,Electronics,Does this battery work with the ephoto CN-600 LED light panel?
164,Home and Kitchen,Will this replace a M-T1810R50 filter
165,Home and Kitchen,Is the water level indicator on the outside so can see it rise as description says the level indicator is in the rear wall?
166,Pet Supplies,Are the chews in the 5 oz boxes smaller than the chews in the 9 oz boxes ?
167,Electronics,"will a bridge and speakers allow me to play music, or do I need the playbar as well?"
168,Sports and Outdoors,"I doubt it will, but I'll ask anyway, Can you use a light with this holster?"
169,Sports and Outdoors,Would it work as a step for getting off of a mattress that's too high from the floor?
170,Home and Kitchen,How do I stand them up so the liquid can freeze without spilling out?
171,Sports and Outdoors,"My tank swells up when its in the sun, how to I stop this from happening?"
172,Electronics,Where is this camara made?
173,Cell Phones and Accessories,Does this case fit the Lucid 3 from verizon?
174,Tools and Home Improvement,Does the pulldown sprayer retract totally back into the faucet? Or hang down a little below?
175,Home and Kitchen,what is the size? I can't find that anywhere?
176,Sports and Outdoors,Will this grip fit the Kimber Tactical Pro Carry II. I read something about the ambidextrous safety getting in the way.
177,Home and Kitchen,Have you used this for making kale juice and would this be the best juicer for that purpose?
178,Home and Kitchen,"Is it a flip lid, or do you remove entirely to use?"
179,Sports and Outdoors,Do these fit over Eye glasses?
180,Home and Kitchen,dishwasher safe?
181,Patio Lawn and Garden,Can this be mounted to the wall?
182,Toys and Games,These figures can bend your legs and arms and head move?
183,Automotive,Will this interfere with a soft top. That seems to be the issue with light bars. Can I remove and install my softop without issues?
184,Home and Kitchen,Can a paper grocery bag be used as the bag?
185,Automotive,Is this shade 1 piece or 2 (excluding the bonus smaller shades)?
186,Home and Kitchen,I've heard people say this one falls down a lot is this true ?
187,Tools and Home Improvement,Is this the genuine Grohe part?
188,Grocery and Gourmet Food,Are the flowering teas caffeine free
189,Tools and Home Improvement,What color is this? Can it be ordered in brown?
190,Patio Lawn and Garden,What size pool does this accomadate
191,Musical Instruments,how do I operate this unit with phantom power so I don't have dissassemble to install a 9v battery? do I need a speacial cable ???/
192,Electronics,What is included in the package?
193,Cell Phones and Accessories,Does this case fit HTC One M7?
194,Tools and Home Improvement,"Can somebody explain what filters you use on this vacuum? Is it a bag, or nano filter cartridges, and where does the optional HEPA filter go?"
195,Home and Kitchen,I gather by the description that these pans do not have a teflon or any other coating. Is that correct? I prefer non coated pans.
196,Home and Kitchen,I want to order this chair but I need to know if there is any batteries in it.
197,Pet Supplies,"Where do you get replacement parts for the pump? Not the filters, but the actual pump."
198,Electronics,Does the xperia z tablet use a standard micro sd card? There's so many out there and I need HELP!!!!!!!!
199,Pet Supplies,what are the measurements of this in length and width?
200,Patio Lawn and Garden,Can you please let me know is it water proof?
201,Toys and Games,Are pvc free?
202,Sports and Outdoors,Is 205 lbs and 6 foot 2 inches too big for this inflatable?
203,Automotive,Will these fit a 2009 Dodge Ram 3500 4 Wheel Drive Dually quad cab?
204,Electronics,Will this lens work with a Nikon D3000?
205,Sports and Outdoors,Is this material treated to resist weather?
206,Electronics,length of pole
207,Home and Kitchen,Are these pans stackable? Can you stack them inside of each other
208,Electronics,"My dad bought this GPS and drives a Volvo truck, but even in truck mode he gets taken on car routes. Can you provide sample settingsto use in profile?"
209,Automotive,Are the leds Blue or White? it said White in the tittle but in the photos show Blue and Does the package really weight 5 pounds?
210,Electronics,"When I install the adapter, my V1 flashes lens error and doesn't work at all. Can anybody suggest a resolution?"
211,Home and Kitchen,are the legs tapered or same dimensions top to bottom? i want to add a second shelf.
212,Automotive,fabric thickness or density
213,Toys and Games,Can you please confirm that the 71006 The Simpsons House includes the garage and simpson car as well as the figurines as shown on the box?
214,Automotive,Is this product sold in a set or individually ?
215,Electronics,Can I use this Radio in a few company cars for my auto shop? If not what radio would be best and would I need a license to use it?
216,Toys and Games,"How does the blade come out, does it swing out or push out? Do you have to push a button to make it come out?"
217,Home and Kitchen,Does this 2.2 liter version have a timer or 7 hrs delay?
218,Toys and Games,anyone experiencing leaking?
219,Cell Phones and Accessories,Is this authentic? I bought one and they told me its fake.
220,Automotive,Do i get set or just one? i want left and right
221,Toys and Games,"Does it come with one princess and rider, or two?"
222,Electronics,Does this camera work with a Mac Laptop? Thanks
223,Tools and Home Improvement,Is it possable to spray unit with a clear acrylic to seal it from the weather?
224,Automotive,"Im buying this for my boyfriend. He has an older bike, and I dont know much about them. Its a 1999 Suzuki Savage 650 LS. Will this fit? Didnt see sava"
225,Home and Kitchen,it says dishwasher save but is it microwave save?
226,Home and Kitchen,What is the maximum length of the power cord if you pull all of it out? Which side does it come out of?
227,Home and Kitchen,How much height/space does the middle shelf have? I'm wondering if fabric drawers would fit on it.
228,Cell Phones and Accessories,I need a waterproof case does this thing actually protect your phone from water or not cuz these reviews are saying it does and it doesn't. confusing
229,Home and Kitchen,"Just how fine is the mesh? I like to add ground spices (cinnamon, ginger, etc) to my teas but I usaully have a ton of it fall to the bottom"
230,Home and Kitchen,Could it hold 365 cards?
231,Home and Kitchen,Does this mug have a coating finish on the outside? Im looking to get these engraved for a wedding and I want to make sure its possible.
232,Patio Lawn and Garden,How do you properly clean the tubes?
233,Toys and Games,"Does it open up? Do the 3.75"" Action figures fit inside?"
234,Sports and Outdoors,How much does a 150 quart cooler weight ?
235,Home and Kitchen,It looks small...anyone know about how many average-sized T-shirts one of the bags would hold before bulging or overflowing? Thanks!
236,Electronics,Do they come as a pair or just one? Edit: I want to replace my 2002 Jeep Liberty dashboard speakers.
237,Home and Kitchen,"It's 4"" taller than I would like it to be because I want to use it next to my vanity and span granite across both. Is the top a separate piece?"
238,Electronics,Do you have to focus manually?
239,Cell Phones and Accessories,"Can you charge on the wireless ""plate"" charger? or Does the back come off easily for said charging? Thanks!"
240,Sports and Outdoors,Does the water pass through the plastic cap? or are you drinking straight from the glass?
241,Sports and Outdoors,how long is it internally? I have a pump 14 inches long that I want to carry inside. Its a folding bike and I don't have a frame mount
242,Automotive,you use the new gasket that came with it or the oem reusable one
243,Sports and Outdoors,Does it deflates also?
244,Home and Kitchen,Does this maintain oil temp? How high does it heat?
245,Home and Kitchen,What is the lid made of? Is it microwave safe?
246,Home and Kitchen,How clear is the glass? There is a lot of cloudy low cost glassware out there--just wondering how this one's purity fairs.
247,Home and Kitchen,"It is stated that this is not suitable for brown/other rices. I use a lot of red, black etc rices. Do any of you have experience trying other rices?"
248,Sports and Outdoors,how can i be sure my course is included
249,Electronics,I have a Bose Wave Music System 111 SLV will this antenna work
250,Cell Phones and Accessories,Do you think this case would fit an iPhone 5 with a hybrid case? Thanks!
251,Tools and Home Improvement,My sump keep stoping my friend comes and clean it then it works for a while. Does this mean the switch might be bad?
252,Cell Phones and Accessories,Is it comfortable to talk on the phone with the wallet case on for prolonged periods of time? Does the case fold back; where does the magnetic flap go
253,Tools and Home Improvement,Is the hardware included?
254,Electronics,Do you have to load one tie at a time?
255,Pet Supplies,I have a center brace going vertically down my 60 gallon marineland tank will this work?
256,Electronics,"Anyone have the gold Canon SD1100? (Or any thoughts on the brown?) I'm considering either the gold or the brown SD1100. I've seen the brown in person, but haven't seen the gold. Is it a very shiny glitzy yellow gold? Or more of a subtle taupe/camel gold? (I have a very old Canon SD10 in bronze that finally died. Would love to have a color that's close to that. The SD1100 in brown seems nice, but is a tad darker than I'd like. Am considering it though, in addition to the gold.)"
257,Tools and Home Improvement,"Someone wrote that this faucet was noisy: ""Holy Air Gap"" Does anyone know what that means? Does anyone has the same noise problem?"
258,Electronics,"Flip Camcorder Questions I will be traveling to Europe soon & thought a Flip might be just the thing to catch snippets of my trip. Two questions though: Does anyone know if the movie can be downloaded without being compressed, which I've heard degrades the quality? I'm afraid I'll run out of space in the Flip memory & won't be able to download it at an internet cafe. And 2) Is it true that the only way to recharge the battery is via a computer's USB port? This would be nearly impossible when traveling. Thanks for any input!"
259,Pet Supplies,One of my cats loves to eat plastic bags so I can't use liners. Do you have to use a liner with this box?
260,Home and Kitchen,Can the pieces be separated so we can just use the full bed once my child no longer wants a bunk bed?
261,Sports and Outdoors,This is $100 less at Nike.com. Only $149.00 Why is this seller charging over $200 for the Nike Fuel band when I can get it on the Nike website for less. Major rip off!!!
262,Tools and Home Improvement,What kind of oil should I use and if it is leaking oil can that be repaired?
263,Sports and Outdoors,How do you guys clean all the black crap off after cooking over fire?
264,Electronics,"Will this fit for 11.6"" tablet? my tablet is about 2lbs"
265,Patio Lawn and Garden,Can this be used in a concrete bird bath?
266,Home and Kitchen,"I see that the glass is microwave and dishwasher safe, but is the lid also? Thanks."
267,Automotive,Does this come with or without a windshield? I can see one in the picture. If it does what size is it?
268,Office Products,Is this a wall mount phone?
269,Pet Supplies,How is this item secured to the ground so they don't tip it over?
270,Home and Kitchen,What color throw pillows would you recommend to go with this quilt? It's a
271,Home and Kitchen,what is the water temp of the cold water is the temp adjustable ?
272,Electronics,"There is a Drops & Spills Warranty offered for this laptop but what about internal problems - hard drive crash, hang ups, etc?"
273,Home and Kitchen,Are these hard to remove by hand once fully seated?
274,Sports and Outdoors,"Crossman website states this is for Target use. Good enough for pest control, small game or varmint? Looking to take down some mice and squirrels."
275,Electronics,what battery type does remote use?
276,Sports and Outdoors,Does the rear sight use the existing rear dovetail or does it mount to the scope mount holes in the receiver like the Tech Sights?
277,Tools and Home Improvement,"I'm considering this tool or the same Makita tool with the 1/4"" impact socket head. I presume this tool is more versatile since you can buy an adapter"
278,Pet Supplies,"Both my dogs act alarmed when I use Positive. When I use Negative, they're fine. Circuits reversed???"
279,Grocery and Gourmet Food,How much sugar is in a bar?
280,Tools and Home Improvement,Will the fittings work with standard USA pipes?
281,Patio Lawn and Garden,Has anyone tried filling it with dryer lint for the birds to build their nests?
282,Electronics,"Stephen, or whoever can help, what do I do to view on my PC?"
283,Clothing Shoes and Jewelry,What is the largest watch size I can fit on the winder? My husband has a Cartier MC Tank watch and it's pretty wide and so is the leather band. I'd like to know if it will fit comfortably in the winder.
284,Electronics,"Free blue ray player offer? Any guesses on when the free blue ray player offer is going to be back? I am just about ready to pull the trigger on this one (Samsung LN52B750) after seeing it at Bestbuy last night, but I'd hate to lose out on the player if Amazon reinstitutes this offer."
285,Toys and Games,How thick is the black base of the item? We want to put stickers of attendees' names on them and need to know the height of the base.
286,Electronics,How many people have had these double clicking issues mentioned in several comments? I am a CAD operator and this would be too frustrating.
287,Electronics,Does this work if you plug it into an AMD motherboard
288,Musical Instruments,I have 2 powered 15 inch speakers running to my mixer at this point....How would I be able to use this Baby tremor on my set up?
289,Electronics,Can you remove the keyboard or fold it back if you don't want to use it?
290,Tools and Home Improvement,how does it do on plywood
291,Electronics,"Help- Who Bought Nuvi 855 on Amazon? Mine isn't sealed when came in? I just got my Nuvi 855- the box isn't sealed at all. I opened it and the GPS is sitting right there, without even a plastic wrapper. Mine is supposed to be brand new. Who ordered this product on Amazon? Is this the case for you too? Thank you!!!"
292,Grocery and Gourmet Food,Does this need to be refrigerated after opening?
293,Home and Kitchen,how small is this thing?!?!?!?!?!??!?!?!
294,Sports and Outdoors,Would it stay up well if placed on pavement (using tripod base)?
295,Automotive,Can treats 20 gallons but my tank is a 10 gallon tank so Use 1/2 n save the rest? 2.0L Suzuki sx4...
296,Home and Kitchen,Caption reads Taupe but the choice here is grey. I am confused. Is the grey really Taupe?
297,Tools and Home Improvement,Can I use this cord to cut up and make smaller bungee cords. Do you sell the metal hooks to attach on each end.
298,Cell Phones and Accessories,How thick is this case when installed on the phone?
299,Patio Lawn and Garden,One simple question...Does it leak over time? Period. This will be my 3rd hose reel in as many years of progressively expensive models. All leaked.
300,Sports and Outdoors,Does it need any additional hardware or rack to make it usable? Does it come with EVERYthing you need to attach this to your bike?
301,Tools and Home Improvement,"Description says above counter installation, but customer reviews say they wall-mounted. Can it be wall mounted?"
302,Musical Instruments,Will this work with Windows 8?
303,Toys and Games,Do Slash 4x4 shafts work on a 2wd Slash?
304,Electronics,"description says this is compatible with Premiere, but the question above suggests that it is not. Which is it? Will it work with my Premiere?"
305,Electronics,3 tb sata hdds Does this device duplicate 3 TB SATA HDDs? Thank you.FM
306,Tools and Home Improvement,"are these shower heads stuck in one direction or can they be turned, twisted, and pointed in directions that you want them to face?"
307,Office Products,Can this be used as a stool to stand on? I do speaking engagements and am quite short so I need something to stand on to be seen over the pulpit
308,Automotive,Is there any drilling involved in installation on 2013 ford F150
309,Video Games,"Is this Legendary Edition an actual standalone version of Skyrim, or is it an add-on where I would need to buy the original game as well?"
310,Automotive,"Ordered this, sure hope it works of my 2013 corvette with performance exhaust?"
311,Home and Kitchen,Does the carafe spill or drip when pouring a cup of coffee? I always spill out ¼ cup with my coffee maker no matter how slowly or quickly I pour.
312,Tools and Home Improvement,Just got Leica Disto D2 in mail today. Only reads in metric measurements. Was unaware it would not be in in/feet. Can it be changed to read US meas
313,Patio Lawn and Garden,What size are your beads?
314,Sports and Outdoors,how many lbs will it hold ?
315,Home and Kitchen,Is this pan compatible with an induction cooktop? (Without adding a heating disk between the cooktop and pan.)
316,Electronics,how many graphics cards will this support?
317,Toys and Games,wing span ??????
318,Cell Phones and Accessories,"Is the SIM pre registered? If so to whom? If not, what is procedure to register?"
319,Home and Kitchen,How do you keep the cutting blade sharp?
320,Office Products,Can you remove the guide bar if it's not being used?
321,Automotive,What is the pulling rating & max rating for this?
322,Home and Kitchen,How durable is the plastic? Is it very pliable or is the plastic firm?
323,Patio Lawn and Garden,How long is the glider from the end of one tray to end of the other tray?
324,Grocery and Gourmet Food,Is this product labeled gluten free
325,Tools and Home Improvement,"Does this have a strong smell, or can it be used a room with poor ventilation (such as a basement with small windows)?"
326,Cell Phones and Accessories,Does this case effect the flash when taking pictures? Other cases I've had reflect the flash back toward the lens and give pictures a grey haze.
327,Electronics,does it come with a security lock or does that cost extra?
328,Patio Lawn and Garden,How can I rainproof this so I can get that blasted chipmunk???
329,Tools and Home Improvement,"My contractor just installed this in our bathroom. He installed with the back plate/box fully recessed into the wall so that the plate is flush with the wall. Have others installed this way or did you install so that it sticks out a bit? I can't tell from the photos, ..."
330,Patio Lawn and Garden,How high off the ground is the seat?
331,Electronics,How thick is the plexiglass? Im concerned it isnt stiff enough for my 47 inch LED if something is pushed against it (figure thrown items are ok)
332,Grocery and Gourmet Food,is this a tea that you can drink just by itself or does it have to be mixed with another beverage--and how often can you drink it--thanks
333,Automotive,how wide is the mirror
334,Electronics,What kind of fan did you buy for this board? Does it need a specific type?
335,Patio Lawn and Garden,"I saw my neighbor has these, set of six?.... are these durable shatter free plastic? I have kids and don't need them to be breakable."
